
2025/03/14 (09:05:40) | ===> btop++ v.1.4.0
2025/03/14 (09:05:40) | INFO: Logger set to INFO
2025/03/14 (09:05:42) | INFO: Logger set to DEBUG
2025/03/14 (09:05:43) | INFO: Logger set to INFO

2025/04/11 (10:17:13) | ===> btop++ v.1.4.0
2025/04/11 (10:17:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/11 (11:58:28) | ===> btop++ v.1.4.0
2025/04/11 (11:58:28) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/11 (12:00:13) | ===> btop++ v.1.4.0
2025/04/11 (12:00:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/11 (12:53:35) | ===> btop++ v.1.4.0
2025/04/11 (12:53:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/24 (17:01:27) | ===> btop++ v.1.4.0
2025/04/24 (17:01:27) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/28 (21:10:46) | ===> btop++ v.1.4.0
2025/04/28 (21:10:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/28 (21:21:06) | ===> btop++ v.1.4.0
2025/04/28 (21:21:06) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/29 (16:24:17) | ===> btop++ v.1.4.0
2025/04/29 (16:24:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/04/30 (11:57:28) | ===> btop++ v.1.4.0
2025/04/30 (11:57:28) | WARNING: Failed to set locale UTF-8 continuing anyway.
